ID,minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$setUp,8851,0,30,3,12,1250078720,8223,140736189309728,140177363927368,1,67,2292319,331,28672,45056,4096,1.71034e+07,285723,17436,2.28227e+07,303159,2.47683e+06,14030,1415,1.1059e+06,134797,1.46256e+07,1.16132e+07,-1.03085e+07,1.06117e+07,216,4.68689e+07,4.69281e+07,2.16836e+07,4.48838e+06,4.45714e+07,6.21791e+08,4.11844e+08,548595,1.2589e+08,6.18238e+07,8.43797e+07,1.39099e+06,1.32637e+08,4.85938e+08,2.63206e+08,2.80309e+08,2.62388e+07,1.46256e+07,1.16132e+07,4.27979e+08,5.5519e+06,4.3064e+08,5.56934e+06,2.18404e+07,7.10949e+08,2.21436e+07,2.01949e+07,1.16132e+07,332875,65288,548595,548595,548595,0,0,0
EXIT-org/apache/hadoop/dfs/TestCrcCorruption$setUp,9022,0,30,3,12,1250078720,8289,140736189309728,140177363927368,1,67,2293563,331,28672,45056,4096,3.43278e+07,573433,35002,4.58098e+07,608435,4.9719e+06,28158,2737,2.22801e+06,270595,2.93598e+07,2.33127e+07,-2.06935e+07,2.1302e+07,433,9.40862e+07,9.42047e+07,4.35282e+07,9.01014e+06,8.94745e+07,1.24842e+09,8.2685e+08,1.10139e+06,2.52744e+08,1.24103e+08,1.69382e+08,2.79231e+06,2.6626e+08,9.75486e+08,5.28372e+08,5.627e+08,5.26725e+07,2.93598e+07,2.33127e+07,8.59141e+08,1.11451e+07,8.64482e+08,1.11801e+07,4.38331e+07,1.42718e+09,4.44416e+07,4.05399e+07,2.33127e+07,668224,131060,1.10139e+06,1.10139e+06,1.10139e+06,0,0,0
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$testCrcCorruption,9086,0,30,3,12,1250078720,8289,140736189309728,140177363927368,1,67,2294807,331,28672,45056,4096,5.16732e+07,863147,52681,6.89612e+07,915828,7.48294e+06,42384,4023,3.35928e+06,407548,4.41959e+07,3.50877e+07,-3.11501e+07,3.20659e+07,652,1.4163e+08,1.41808e+08,6.55238e+07,1.35611e+07,1.34689e+08,1.8793e+09,1.2447e+09,1.65801e+06,3.80473e+08,1.86809e+08,2.54968e+08,4.20267e+06,4.00807e+08,1.46842e+09,7.9537e+08,8.47043e+08,7.92836e+07,4.41959e+07,3.50877e+07,1.29309e+09,1.67769e+07,1.30113e+09,1.68296e+07,6.5978e+07,2.14817e+09,6.68939e+07,6.10255e+07,3.50877e+07,1.00589e+06,197285,1.65801e+06,1.65801e+06,1.65801e+06,0,0,0
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$thistest,11567,0,49,3,12,1254432768,10722,140736189309728,140177363927368,1,68,3690888,331,94208,45056,4096,9.00543e+07,1.44574e+06,100165,1.0895e+08,1.5459e+06,1.18459e+07,67095,6258,5.37485e+06,688931,7.1863e+07,5.40165e+07,-4.84922e+07,5.00381e+07,880,2.22139e+08,2.1964e+08,1.04543e+08,2.42538e+07,2.10642e+08,2.96037e+09,1.92153e+09,2.50295e+06,5.9445e+08,2.94109e+08,3.91882e+08,6.01764e+06,6.35282e+08,2.31294e+09,1.23147e+09,1.32152e+09,1.25879e+08,7.1863e+07,5.40165e+07,1.98649e+09,2.55405e+07,1.9999e+09,2.56407e+07,1.04621e+08,3.32143e+09,1.06167e+08,9.75037e+07,5.40165e+07,1.35636e+06,260922,2.50295e+06,2.50295e+06,2.50295e+06,0,0,0
ENTER-org/apache/hadoop/dfs/NameNode$format,14179,0,75,4,12,1254432768,12376,140736189309728,140177363927368,1,67,3848050,331,167936,45056,4096,1.44724e+08,2.69368e+06,181777,1.71186e+08,2.87546e+06,1.74754e+07,90104,8544,8.40362e+06,1.06161e+06,1.1054e+08,8.60204e+07,-8.04569e+07,8.33324e+07,1154,3.27503e+08,3.28799e+08,1.54299e+08,4.15246e+07,3.10295e+08,4.53299e+09,2.85928e+09,3.5143e+06,9.04089e+08,4.53265e+08,5.78356e+08,7.80909e+06,1.05843e+09,3.56885e+09,1.83766e+09,1.98239e+09,1.9656e+08,1.1054e+08,8.60204e+07,3.05735e+09,3.67702e+07,3.07772e+09,3.6952e+07,1.74166e+08,5.06011e+09,1.77041e+08,1.47492e+08,8.60204e+07,1.73876e+06,359441,3.5143e+06,3.5143e+06,3.5143e+06,0,0,0
ENTER-org/apache/hadoop/dfs/NameNode$format,14179,0,75,4,12,1254432768,12376,140736189309728,140177363927368,1,67,3849297,331,167936,45056,4096,1.99568e+08,3.95181e+06,263601,2.33602e+08,4.21541e+06,2.31169e+07,113168,10834,1.14397e+07,1.43518e+06,1.49309e+08,1.18109e+08,-1.12482e+08,1.16698e+08,1429,4.33081e+08,4.3825e+08,2.04163e+08,5.88326e+07,4.10147e+08,6.10897e+09,3.79937e+09,4.5281e+06,1.21423e+09,6.12848e+08,7.65331e+08,9.60439e+06,1.48248e+09,4.82814e+09,2.44511e+09,2.64467e+09,2.67418e+08,1.49309e+08,1.18109e+08,4.13051e+09,4.80304e+07,4.15785e+09,4.8294e+07,2.43852e+08,6.80252e+09,2.48068e+08,1.97603e+08,1.18109e+08,2.12198e+06,458194,4.5281e+06,4.5281e+06,4.5281e+06,0,0,0
ENTER-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,23442,0,137,6,12,1254432768,16301,140736189309728,140177363927368,1,67,4180000,331,270336,45056,4096,2.80944e+08,6.05597e+06,409135,3.20882e+08,6.4651e+06,3.11738e+07,210803,12954,1.71791e+07,1.89352e+06,2.08083e+08,1.66368e+08,-1.60397e+08,1.66863e+08,1874,5.79926e+08,5.93052e+08,2.74189e+08,8.56821e+07,5.4899e+08,8.4089e+09,5.12658e+09,5.93921e+06,1.65897e+09,8.4013e+08,1.02855e+09,1.15653e+07,2.1539e+09,6.66742e+09,3.28004e+09,3.56099e+09,3.74451e+08,2.08083e+08,1.66368e+08,5.71598e+09,6.43855e+07,5.75286e+09,6.47946e+07,3.57248e+08,9.31385e+09,3.63713e+08,2.72877e+08,1.66368e+08,2.62308e+06,597659,5.93921e+06,5.93921e+06,5.93921e+06,0,0,0
EXIT-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,23447,0,138,6,12,1254432768,16301,140736189309728,140177363927368,1,67,4192483,331,274432,45056,4096,3.62646e+08,8.16832e+06,555295,4.08507e+08,8.72362e+06,3.92627e+07,308837,15081,2.29434e+07,2.35388e+06,2.67105e+08,2.14813e+08,-2.07509e+08,2.16233e+08,2304,7.2739e+08,7.48462e+08,3.44491e+08,1.12637e+08,6.88419e+08,1.07178e+10,6.4588e+09,7.35656e+06,2.10535e+09,1.0683e+09,1.29294e+09,1.35349e+07,2.8283e+09,8.5139e+09,4.11842e+09,4.48106e+09,4.81917e+08,2.67105e+08,2.14813e+08,7.30801e+09,8.08087e+07,7.35446e+09,8.1364e+07,4.7113e+08,1.18355e+10,4.79854e+08,3.48469e+08,2.14813e+08,3.12639e+06,737717,7.35656e+06,7.35656e+06,7.35656e+06,0,0,0
ENTER-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,27382,0,157,6,12,1254432768,17417,140736189309728,140177363927368,1,67,4303273,331,339968,45056,4096,4.50985e+08,1.04525e+07,713337,5.0327e+08,1.11658e+07,4.80107e+07,414798,17382,2.91728e+07,2.85156e+06,3.30936e+08,2.67209e+08,-2.57464e+08,2.6863e+08,2743,8.85485e+08,9.14652e+08,4.25552e+08,1.40845e+08,8.38008e+08,1.32025e+10,7.87746e+09,8.78557e+06,2.58081e+09,1.3076e+09,1.57281e+09,1.55698e+07,3.55721e+09,1.05107e+10,5.02499e+09,5.47597e+09,5.98145e+08,3.30936e+08,2.67209e+08,9.02943e+09,9.85693e+07,9.08623e+09,9.92826e+07,5.94249e+08,1.45622e+10,6.05415e+08,4.30218e+08,2.67209e+08,3.6706e+06,889204,8.78557e+06,8.78557e+06,8.78557e+06,0,0,0
EXIT-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,27383,0,157,6,12,1254432768,17417,140736189309728,140177363927368,1,67,4304521,331,339968,45056,4096,5.39464e+08,1.27408e+07,871647,5.98181e+08,1.36124e+07,5.67726e+07,520930,19686,3.54147e+07,3.35001e+06,3.94873e+08,3.19667e+08,-3.0748e+08,3.21093e+08,3183,1.04383e+09,1.08112e+09,5.0675e+08,1.691e+08,9.87837e+08,1.56913e+10,9.29854e+09,1.0217e+07,3.05713e+09,1.54733e+09,1.85275e+09,1.7588e+07,4.28803e+09,1.25101e+10,5.93283e+09,6.47229e+09,7.1454e+08,3.94873e+08,3.19667e+08,1.07533e+10,1.16355e+08,1.08205e+10,1.17227e+08,7.17549e+08,1.72928e+10,7.31162e+08,5.121e+08,3.19667e+08,4.21555e+06,1.04091e+06,1.0217e+07,1.0217e+07,1.0217e+07,0,0,0
