ID,minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$setUp,8670,0,32,1,12,1250078720,8211,140736118952384,139753665691976,1,67,2292210,331,24576,45056,4096,2.28714e+07,253443,18417,2.25672e+07,271860,2.61431e+06,13449,1245,1.15733e+06,189677,1.35313e+07,1.27606e+07,-1.07222e+07,1.09941e+07,241,4.52629e+07,5.52803e+07,2.15079e+07,4.58246e+06,4.28223e+07,5.78398e+08,4.00285e+08,530491,1.09458e+08,5.15409e+07,8.08602e+07,959934,1.37177e+08,4.96723e+08,2.36707e+08,2.59578e+08,2.62919e+07,1.35313e+07,1.27606e+07,4.34796e+08,5.63927e+06,4.37415e+08,5.65768e+06,2.17674e+07,6.96993e+08,2.20393e+07,1.9189e+07,1.27606e+07,469391,60718,530491,530491,530491,0,0,0
EXIT-org/apache/hadoop/dfs/TestCrcCorruption$setUp,8799,0,32,1,12,1250078720,8348,140736118952384,139753665691976,1,67,2293459,331,24576,45056,4096,4.59077e+07,508682,36970,4.53015e+07,545652,5.24757e+06,27008,2499,2.32821e+06,370700,2.71614e+07,2.56151e+07,-2.15228e+07,2.20684e+07,483,9.08585e+07,1.10968e+08,4.31744e+07,9.19869e+06,8.59593e+07,1.16098e+09,8.03653e+08,1.06496e+06,2.19748e+08,1.03462e+08,1.62316e+08,1.92695e+06,2.75365e+08,9.97107e+08,4.75164e+08,5.21072e+08,5.27765e+07,2.71614e+07,2.56151e+07,8.72796e+08,1.13201e+07,8.78054e+08,1.13571e+07,4.36954e+07,1.39913e+09,4.4241e+07,3.85185e+07,2.56151e+07,942026,121884,1.06496e+06,1.06496e+06,1.06496e+06,0,0,0
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$testCrcCorruption,8843,0,32,1,12,1250078720,8348,140736118952384,139753665691976,1,67,2294708,331,24576,45056,4096,6.91086e+07,765717,55659,6.81821e+07,821376,7.89978e+06,40650,3761,3.50857e+06,550412,4.08972e+07,3.85578e+07,-3.23968e+07,3.32181e+07,727,1.36766e+08,1.67038e+08,6.49897e+07,1.38466e+07,1.29391e+08,1.74747e+09,1.20954e+09,1.60304e+06,3.30793e+08,1.55738e+08,2.44329e+08,2.9006e+06,4.145e+08,1.50092e+09,7.15251e+08,7.8436e+08,7.9455e+07,4.08972e+07,3.85578e+07,1.3138e+09,1.704e+07,1.32171e+09,1.70956e+07,6.57736e+07,2.10607e+09,6.6595e+07,5.79929e+07,3.85578e+07,1.4179e+06,183470,1.60304e+06,1.60304e+06,1.60304e+06,0,0,0
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$thistest,11373,0,51,2,12,1254432768,10740,140736118952384,139753665691976,1,68,3690794,331,90112,45056,4096,1.09548e+08,1.22011e+06,89689,1.13473e+08,1.3098e+06,1.1925e+07,70888,5975,5.58699e+06,876847,6.61192e+07,5.66171e+07,-4.97019e+07,5.10117e+07,1078,2.18896e+08,2.51376e+08,1.04184e+08,2.46021e+07,2.067e+08,2.81506e+09,1.87202e+09,2.3539e+06,5.28275e+08,2.5472e+08,3.79387e+08,4.21034e+06,6.51848e+08,2.36928e+09,1.09879e+09,1.20834e+09,1.22736e+08,6.61192e+07,5.66171e+07,2.05434e+09,2.94229e+07,2.06737e+09,2.95126e+07,1.08727e+08,3.27571e+09,1.10036e+08,9.56318e+07,5.66171e+07,1.95314e+06,314997,2.3539e+06,2.3539e+06,2.3539e+06,0,0,0
ENTER-org/apache/hadoop/dfs/NameNode$format,14044,0,78,2,12,1254432768,12231,140736118952384,139753665691976,1,67,3847961,331,163840,45056,4096,1.66064e+08,2.15978e+06,139324,1.79526e+08,2.29911e+06,1.77947e+07,113855,8054,9.06916e+06,1.22828e+06,1.01187e+08,9.0278e+07,-7.90347e+07,8.13338e+07,1496,3.20428e+08,3.63399e+08,1.53568e+08,4.18054e+07,3.02354e+08,4.36441e+09,2.79113e+09,3.27439e+06,8.21399e+08,4.05661e+08,5.62465e+08,5.48839e+06,1.09788e+09,3.64627e+09,1.64249e+09,1.80856e+09,1.91465e+08,1.01187e+08,9.0278e+07,3.1862e+09,4.4066e+07,3.20557e+09,4.42053e+07,1.83526e+08,5.01413e+09,1.85826e+08,1.45392e+08,9.0278e+07,2.50704e+06,472262,3.27439e+06,3.27439e+06,3.27439e+06,0,0,0
ENTER-org/apache/hadoop/dfs/NameNode$format,14044,0,79,2,12,1254432768,12231,140736118952384,139753665691976,1,67,3849213,331,163840,45056,4096,2.22463e+08,3.15581e+06,189065,2.4572e+08,3.34487e+06,2.36777e+07,156919,10138,1.25613e+07,1.58054e+06,1.36357e+08,1.24034e+08,-1.0838e+08,1.11725e+08,1915,4.22248e+08,4.75676e+08,2.03083e+08,5.90543e+07,3.98283e+08,5.91703e+09,3.71245e+09,4.19707e+06,1.11522e+09,5.57004e+08,7.46028e+08,6.76983e+06,1.54485e+09,4.92666e+09,2.18799e+09,2.41045e+09,2.60391e+08,1.36357e+08,1.24034e+08,4.32068e+09,5.87447e+07,4.34643e+09,5.89337e+07,2.58467e+08,6.75688e+09,2.61812e+08,1.95291e+08,1.24034e+08,3.06238e+06,629879,4.19707e+06,4.19707e+06,4.19707e+06,0,0,0
ENTER-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,20145,0,135,4,12,1254432768,15745,140736118952384,139753665691976,1,67,4179921,331,266240,45056,4096,3.04368e+08,5.47648e+06,382963,3.34254e+08,5.85944e+06,3.21061e+07,348148,12418,1.88298e+07,2.02106e+06,1.91172e+08,1.77452e+08,-1.5573e+08,1.6159e+08,2364,5.63948e+08,6.34265e+08,2.72728e+08,8.59485e+07,5.31775e+08,8.20999e+09,5.02586e+09,5.55148e+06,1.5466e+09,7.77392e+08,1.00653e+09,8.11715e+06,2.25443e+09,6.82332e+09,2.96938e+09,3.27375e+09,3.68624e+08,1.91172e+08,1.77452e+08,5.98226e+09,7.94475e+07,6.01724e+09,7.98304e+07,3.73748e+08,9.29099e+09,3.79608e+08,2.71002e+08,1.77452e+08,3.78904e+06,865159,5.55148e+06,5.55148e+06,5.55148e+06,0,0,0
EXIT-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,20149,0,137,4,12,1254432768,15745,140736118952384,139753665691976,1,67,4192409,331,270336,45056,4096,3.86627e+08,7.80685e+06,577623,4.2312e+08,8.38447e+06,4.05671e+07,540097,14707,2.51232e+07,2.46337e+06,2.46197e+08,2.31069e+08,-2.03268e+08,2.11653e+08,2806,7.06921e+08,7.93491e+08,3.4264e+08,1.12959e+08,6.66508e+08,1.05127e+10,6.34541e+09,6.91142e+06,1.97974e+09,9.98607e+08,1.26802e+09,9.4698e+06,2.96683e+09,8.72773e+09,3.75395e+09,4.14058e+09,4.77266e+08,2.46197e+08,2.31069e+08,7.65051e+09,1.00235e+08,7.69476e+09,1.00813e+08,4.89525e+08,1.18353e+10,4.97909e+08,3.4701e+08,2.31069e+08,4.51876e+06,1.1014e+06,6.91142e+06,6.91142e+06,6.91142e+06,0,0,0
ENTER-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,22957,0,154,4,12,1254432768,16997,140736118952384,139753665691976,1,67,4303204,331,335872,45056,4096,4.7542e+08,1.03219e+07,787774,5.19037e+08,1.11097e+07,4.97017e+07,747298,17178,3.19164e+07,2.94075e+06,3.05574e+08,2.88955e+08,-2.54586e+08,2.65695e+08,3283,8.60446e+08,9.59403e+08,4.1899e+08,1.42326e+08,8.10992e+08,1.29568e+10,7.76296e+09,8.27402e+06,2.45196e+09,1.2383e+09,1.54904e+09,1.09303e+07,3.73868e+09,1.07824e+10,4.60081e+09,5.07623e+09,5.94529e+08,3.05574e+08,2.88955e+08,9.45156e+09,1.22671e+08,9.50581e+09,1.23459e+08,6.14466e+08,1.4582e+10,6.25575e+08,4.29033e+08,2.88955e+08,5.30633e+06,1.35638e+06,8.27402e+06,8.27402e+06,8.27402e+06,0,0,0
EXIT-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,22958,0,154,4,12,1254432768,16997,140736118952384,139753665691976,1,67,4304457,331,335872,45056,4096,5.6433e+08,1.28398e+07,998179,6.15064e+08,1.38379e+07,5.88493e+07,954787,19652,3.87167e+07,3.41903e+06,3.65056e+08,3.46907e+08,-3.05966e+08,3.19804e+08,3761,1.01416e+09,1.12554e+09,4.95477e+08,1.71743e+08,9.55655e+08,1.54052e+10,9.18299e+09,9.63875e+06,2.92455e+09,1.47837e+09,1.83038e+09,1.23937e+07,4.51093e+09,1.28379e+10,5.44853e+09,6.01286e+09,7.11963e+08,3.65056e+08,3.46907e+08,1.12546e+10,1.45132e+08,1.13189e+10,1.4613e+08,7.39556e+08,1.73317e+10,7.53394e+08,5.11186e+08,3.46907e+08,6.09482e+06,1.61174e+06,9.63875e+06,9.63875e+06,9.63875e+06,0,0,0
