minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$setUp,7166.9999997080449,-6.3234007878332221e-05,26.000000154213922,1.9999938681526146,11.999985036895936,1212297216.0,6619.999999848631,140736256070976.0,140246638600520.0,1.0,29.000000821903257,2009044.0000000298,293.00000001164153,503807.99999995384,45056.000000000931,4095.9999998805943
EXIT-org/apache/hadoop/dfs/TestCrcCorruption$setUp,7204.9999997370469,-6.3972259234823525e-05,26.000000152953362,1.9999937793945719,11.999985689613681,1212297216.0,6686.9999998160201,140736256070976.0,140246638600520.0,1.0,29.000000822204044,2009413.0000000745,293.00000001280569,503807.99999995297,45055.999999999069,4095.9999998795502
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$testCrcCorruption,7222.9999997238774,-6.3612541278068591e-05,26.000000153399014,1.9999938338219181,11.999985439532018,1212297216.0,6686.9999998313142,140736256070976.0,140246638600520.0,1.0,29.000000821692851,2009782.0000000149,293.00000001164153,503807.99999995343,45055.99999999674,4095.9999998801395
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$thistest,10346.999999488922,-5.5962269799536557e-05,42.000000153559085,2.9999955382281769,11.999983146049075,1212297216.0,9190.0000001333392,140736256070976.0,140246638600520.0,1.0,30.000000784976038,3041045.0,293.00000001001172,503807.9999999663,45055.999999999534,4095.9999998942221
ENTER-org/apache/hadoop/dfs/NameNode$format,12419.000001340246,-8.0286749736702134e-05,66.000000128524334,2.9999827039505362,11.999994757748752,1348624384.0,11063.999997790626,140736256070976.0,140246638600520.0,1.0,29.000000456530898,3277695.0000000447,353.00000001350418,503807.99999987066,45055.999999988358,4095.9999998700587
ENTER-org/apache/hadoop/dfs/NameNode$format,12426.000001335124,-8.0146579511719551e-05,66.0000001286935,2.9999827250871931,11.99999465976201,1348624384.0,11063.999997796564,140736256070976.0,140246638600520.0,1.0,29.00000045633243,3278068.0000000298,353.00000001327135,503807.99999987078,45055.999999988824,4095.999999870266
ENTER-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,20543.000000933826,-6.3820463773511804e-05,117.00000011936936,4.9999873376427786,11.999996470541113,1349271552.0,17589.999998368701,140736256070976.0,140246638600520.0,1.0,29.000000359772457,3625527.0000000149,353.00000001210719,503807.99999989569,45055.999999993015,4095.9999999047322
EXIT-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,20544.000000933069,-6.3800048298645606e-05,117.00000011940392,4.9999873406163715,11.99999645551911,1349271552.0,17589.999998369596,140736256070976.0,140246638600520.0,1.0,29.000000359745769,3625901.0000000149,353.00000001257285,503807.99999989575,45055.999999992084,4095.9999999047795
ENTER-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,20863.000000910994,-6.3082555312732325e-05,128.00000011935481,4.9999875052903917,11.999996249044784,1349271552.0,17847.999998398154,140736256070976.0,140246638600520.0,1.0,29.000000356518285,3732284.0000000149,353.00000001071021,503807.99999989703,45055.999999993015,4095.9999999061474
EXIT-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,20889.000000891974,-6.256315663599743e-05,128.00000012004239,4.9999875839357628,11.999995888323113,1349271552.0,17847.999998420208,140736256070976.0,140246638600520.0,1.0,29.000000355777871,3732658.0000000298,353.00000001164153,503807.99999989761,45055.999999993015,4095.999999906966
ENTER-org/apache/hadoop/dfs/FSNamesystem$now,20899.000000884655,-6.2363107206531154e-05,128.00000012030068,4.9999876141519053,11.999995748849315,1349271552.0,17847.999998428713,140736256070976.0,140246638600520.0,1.0,29.000000355494251,3733032.0000000447,353.00000001164153,503807.9999998979,45055.999999992549,4095.9999999072497
EXIT-org/apache/hadoop/dfs/FSNamesystem$now,20915.000000928878,-6.351811207272462e-05,128.00000011849625,4.9999874618442846,11.999996688164323,1349271552.0,17913.999998378451,140736256070976.0,140246638600520.0,1.0,29.000000356402069,3733406.0000000447,353.00000001187436,503807.99999989651,45055.999999993015,4095.9999999055581
ENTER-org/apache/hadoop/dfs/FSImage$setStorageDirectories,20932.000000916465,-6.3178347348369357e-05,128.00000011894736,4.9999875132471061,11.99999645189461,1349271552.0,17913.999998392872,140736256070976.0,140246638600520.0,1.0,29.000000355918644,3733780.0000000447,353.00000001071021,503807.99999989697,45055.999999992549,4095.9999999060929
ENTER-org/apache/hadoop/dfs/Storage$addStorageDir,21188.000000952117,-6.3949147315778276e-05,130.00000011673183,4.9999874826157793,11.99999750341204,1349271552.0,18177.999998355692,140736256070976.0,140246638600520.0,1.0,29.000000354157009,3751342.0000000298,353.00000001187436,503807.99999989622,45055.999999993015,4095.9999999052307
EXIT-org/apache/hadoop/dfs/Storage$addStorageDir,21188.000000952132,-6.3949974322907721e-05,131.00000011673001,4.999987482403867,11.99999750247791,1349271552.0,18177.999998355706,140736256070976.0,140246638600520.0,1.0,29.000000354163632,3751716.0000000745,353.00000001234002,503807.99999989627,45055.999999993481,4095.9999999052525
ENTER-org/apache/hadoop/dfs/Storage$addStorageDir,21188.000000952074,-6.394951817600969e-05,131.00000011674092,4.9999874823524806,11.9999975012839,1349271552.0,18177.999998355728,140736256070976.0,140246638600520.0,1.0,29.000000354165252,3752090.0000000596,353.00000001164153,503807.99999989627,45055.999999993481,4095.9999999052452
EXIT-org/apache/hadoop/dfs/Storage$addStorageDir,21188.000000952045,-6.3949062030665971e-05,131.00000011673364,4.9999874823015489,11.999997500089947,1349271552.0,18177.999998355772,140736256070976.0,140246638600520.0,1.0,29.000000354167014,3752464.0000000447,353.00000001257285,503807.99999989627,45055.999999993481,4095.9999999052452
EXIT-org/apache/hadoop/dfs/FSImage$setStorageDirectories,21188.00000095203,-6.3948605882879761e-05,131.0000001167391,4.9999874822501624,11.99999749889605,1349271552.0,18177.999998355786,140736256070976.0,140246638600520.0,1.0,29.000000354168833,3752838.0000000596,353.00000001210719,503807.99999989627,45055.999999992549,4095.9999999052488
ENTER-org/apache/hadoop/dfs/FSNamesystem$setConfigurationParameters,22940.00000112463,-6.7322581695838934e-05,140.00000010445729,4.9999875364774198,12.000003239470196,1349271552.0,19898.999998183019,140736256070976.0,140246638600520.0,1.0,29.000000340237136,3855839.0000000298,353.00000001164153,503807.99999989371,45055.999999992084,4095.9999999023057
EXIT-org/apache/hadoop/dfs/FSNamesystem$setConfigurationParameters,25846.0000011066,-6.4732032643011195e-05,148.00000009595715,6.9999887954336373,12.000006724851453,1349271552.0,22376.999998246174,140736256070976.0,140246638600520.0,1.0,29.000000308714306,3914713.0000000298,360.0000000114087,503807.99999989872,45055.999999993481,4095.9999999099418
ENTER-org/apache/hadoop/dfs/FSNamesystem$createFsOwnerPermissions,27122.000000913933,-5.8731516261234518e-05,153.00000009950782,7.9999900061684457,12.00000439540969,1349271552.0,23247.999998484724,140736256070976.0,140246638600520.0,1.0,29.000000290471149,3957474.0000000298,360.00000001094304,503807.99999990663,45055.999999993946,4095.9999999205429
EXIT-org/apache/hadoop/dfs/FSNamesystem$createFsOwnerPermissions,27126.000000910979,-5.8651221582550761e-05,153.00000009962059,7.999990018225617,12.000004338900531,1349271552.0,23247.999998488143,140736256070976.0,140246638600520.0,1.0,29.000000290358685,3957849.0000000447,360.00000001001172,503807.99999990675,45055.999999993946,4095.9999999206557
ENTER-org/apache/hadoop/dfs/INode$setPermissionStatus,27126.000000910935,-5.8650764215517626e-05,153.00000009962241,7.9999900181728663,12.000004337703423,1349271552.0,23247.99999848818,140736256070976.0,140246638600520.0,1.0,29.000000290360447,3958224.0000000149,360.00000001024455,503807.99999990675,45055.999999994878,4095.999999920652
ENTER-org/apache/hadoop/dfs/INode$setUser,27136.000000903616,-5.8450713568358736e-05,153.00000009989344,7.9999900483880992,12.000004198226407,1349271552.0,23247.999998496678,140736256070976.0,140246638600520.0,1.0,29.000000290077139,3958599.0000000596,360.00000001071021,503807.99999990698,45055.999999994412,4095.9999999209685
ENTER-org/apache/hadoop/dfs/SerialNumberManager$getUserSerialNumber,27213.000000957807,-5.983333052883566e-05,155.00000009750147,7.9999898816281529,12.000005412795723,1349271552.0,23378.999998435793,140736256070976.0,140246638600520.0,1.0,29.00000029063392,3967090.0000000149,360.00000001047738,503807.99999990541,45055.999999993015,4095.9999999190113
