minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$setUp,7011.0000336336234,0.0,25.998642557069616,2.0010839021995821,11.99780108820466,1212297216.0,6507.0000083306295,140734505733744.0,140524550381896.0,1.0,28.977027767650647,2007107.0000000447,292.99999997904524,0.0,45056.000000112224,4096.0
EXIT-org/apache/hadoop/dfs/TestCrcCorruption$setUp,7047.0000335476798,0.0,25.998643314236233,2.0010822945312725,11.997804669639379,1212297216.0,6546.0000083494597,140734505733744.0,140524550381896.0,1.0,28.977094520522236,2007471.0000000298,292.99999997956911,0.0,45056.000000112923,4096.0
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$testCrcCorruption,7067.0000335363875,0.0,25.998645473699071,2.0010828734831989,11.997808143038583,1212297216.0,6546.0000083165069,140734505733744.0,140524550381896.0,1.0,28.977101880845503,2007835.0000000596,292.99999997956911,0.0,45056.00000011269,4096.0
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$thistest,9888.0000264588016,0.0,38.99859914565468,5.0010245426551592,11.997721026687564,1212297216.0,8912.0000118440294,140734505733744.0,140524550381896.0,1.0,29.982873398500388,3033995.0000000224,293.00000004316098,0.0,45056.000000124332,4096.0
ENTER-org/apache/hadoop/dfs/NameNode$format,12535.000023541419,0.0,62.998897044705245,6.0009178419410887,11.99793698132617,1212297216.0,10896.000008479925,140734505733744.0,140524550381896.0,1.0,28.98441639093722,3195432.0000000373,293.00000001944136,0.0,45056.000000090105,4096.0
ENTER-org/apache/hadoop/dfs/NameNode$format,12535.000023540211,0.0,62.998897009728125,6.0009178486670294,11.997936790000381,1212297216.0,10896.00000848114,140734505733744.0,140524550381896.0,1.0,28.984417421151619,3195798.0000000298,293.00000001958688,0.0,45056.000000090105,4096.0
ENTER-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,20536.000012100987,0.0,113.99934696084847,7.0005962246349895,11.998560804941278,1212297216.0,17886.000005885347,140734505733744.0,140524550381896.0,1.0,28.992282638336725,3523261.0000000298,293.00000003227615,0.0,45056.000000051223,4096.0
EXIT-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,20705.000011753968,0.0,113.99935380666579,7.0005923870863285,11.998576324242727,1212297216.0,18017.0000059003,140734505733744.0,140524550381896.0,1.0,28.992550722678565,3534656.0000000298,293.00000003425521,0.0,45056.000000050059,4096.0
ENTER-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,22381.000009738425,0.0,125.9994638620401,8.0005402503110759,11.998738888868523,1212297216.0,19276.000004915499,140734505733744.0,140524550381896.0,1.0,28.993900215264276,3644016.0000000149,293.00000003335299,0.0,45056.00000003865,4096.0
EXIT-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,22384.000009735675,0.0,125.99946415610657,8.0005403428951922,11.998739246571901,1212297216.0,19276.000004911599,140734505733744.0,140524550381896.0,1.0,28.993902198654247,3644383.0000000447,293.00000003346941,0.0,45056.000000039348,4096.0
ENTER-org/apache/hadoop/dfs/FSNamesystem$now,22550.000009425523,0.0,125.9994716457154,8.0005361490393057,11.998759908805077,1212297216.0,19408.000004897054,140734505733744.0,140524550381896.0,1.0,28.994139684015146,3644750.0000000224,293.0000000349537,0.0,45056.000000038417,4096.0
EXIT-org/apache/hadoop/dfs/FSNamesystem$now,22831.000008892697,0.0,125.99948387435961,8.0005193663294563,11.998796383551486,1213833216.0,19672.00000489669,140734505733744.0,140524550381896.0,1.0,28.994525261828819,3645117.0000000224,293.00000003658351,0.0,45056.000000037719,4096.0
ENTER-org/apache/hadoop/dfs/FSImage$setStorageDirectories,22965.000008598632,0.0,125.99948785317406,8.0005142568538758,11.998811183897452,1213833216.0,19804.00000493681,140734505733744.0,140524550381896.0,1.0,28.994752610008156,3645484.0000000373,293.00000003835885,0.0,45056.000000038184,4096.0
ENTER-org/apache/hadoop/dfs/Storage$addStorageDir,23088.000008989278,0.0,127.99952030664963,8.0005356897501656,11.99882646206715,1212297216.0,19597.000004261186,140734505733744.0,140524550381896.0,1.0,28.994416060969186,3663279.0000000298,293.00000003309106,0.0,45056.000000031898,4096.0
EXIT-org/apache/hadoop/dfs/Storage$addStorageDir,23088.000008988034,0.0,127.99952027157815,8.0005356964946941,11.998826270218593,1212297216.0,19597.00000426238,140734505733744.0,140524550381896.0,1.0,28.994417093998372,3663646.0000000373,293.00000003314926,0.0,45056.000000032131,4096.0
ENTER-org/apache/hadoop/dfs/Storage$addStorageDir,23088.000009096526,0.0,128.99952359103941,8.0005340140660905,11.998821761634773,1212297216.0,19597.00000418265,140734505733744.0,140524550381896.0,1.0,28.994313391040372,3664013.0000000298,293.00000003143214,0.0,45056.000000031199,4096.0
