ID,minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$setUp,7167,0,26,2,12,1212297216,6620,140736256070976,140246638600520,1,29,2009044,293,503808,45056,4096
EXIT-org/apache/hadoop/dfs/TestCrcCorruption$setUp,7205,0,26,2,12,1212297216,6687,140736256070976,140246638600520,1,29,2009413,293,503808,45056,4096
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$testCrcCorruption,7223,0,26,2,12,1212297216,6687,140736256070976,140246638600520,1,29,2009782,293,503808,45056,4096
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$thistest,10347,0,42,3,12,1212297216,9190,140736256070976,140246638600520,1,30,3041045,293,503808,45056,4096
ENTER-org/apache/hadoop/dfs/NameNode$format,12419,0,66,3,12,1348624384,11064,140736256070976,140246638600520,1,29,3277695,353,503808,45056,4096
ENTER-org/apache/hadoop/dfs/NameNode$format,12426,0,66,3,12,1348624384,11064,140736256070976,140246638600520,1,29,3278068,353,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,20543,0,117,5,12,1349271552,17590,140736256070976,140246638600520,1,29,3625527,353,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,20544,0,117,5,12,1349271552,17590,140736256070976,140246638600520,1,29,3625901,353,503808,45056,4096
ENTER-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,20863,0,128,5,12,1349271552,17848,140736256070976,140246638600520,1,29,3732284,353,503808,45056,4096
EXIT-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,20889,0,128,5,12,1349271552,17848,140736256070976,140246638600520,1,29,3732658,353,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$now,20899,0,128,5,12,1349271552,17848,140736256070976,140246638600520,1,29,3733032,353,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$now,20915,0,128,5,12,1349271552,17914,140736256070976,140246638600520,1,29,3733406,353,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSImage$setStorageDirectories,20932,0,128,5,12,1349271552,17914,140736256070976,140246638600520,1,29,3733780,353,503808,45056,4096
ENTER-org/apache/hadoop/dfs/Storage$addStorageDir,21188,0,130,5,12,1349271552,18178,140736256070976,140246638600520,1,29,3751342,353,503808,45056,4096
EXIT-org/apache/hadoop/dfs/Storage$addStorageDir,21188,0,131,5,12,1349271552,18178,140736256070976,140246638600520,1,29,3751716,353,503808,45056,4096
ENTER-org/apache/hadoop/dfs/Storage$addStorageDir,21188,0,131,5,12,1349271552,18178,140736256070976,140246638600520,1,29,3752090,353,503808,45056,4096
EXIT-org/apache/hadoop/dfs/Storage$addStorageDir,21188,0,131,5,12,1349271552,18178,140736256070976,140246638600520,1,29,3752464,353,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSImage$setStorageDirectories,21188,0,131,5,12,1349271552,18178,140736256070976,140246638600520,1,29,3752838,353,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$setConfigurationParameters,22940,0,140,5,12,1349271552,19899,140736256070976,140246638600520,1,29,3855839,353,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$setConfigurationParameters,25846,0,148,7,12,1349271552,22377,140736256070976,140246638600520,1,29,3914713,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$createFsOwnerPermissions,27122,0,153,8,12,1349271552,23248,140736256070976,140246638600520,1,29,3957474,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$createFsOwnerPermissions,27126,0,153,8,12,1349271552,23248,140736256070976,140246638600520,1,29,3957849,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/INode$setPermissionStatus,27126,0,153,8,12,1349271552,23248,140736256070976,140246638600520,1,29,3958224,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/INode$setUser,27136,0,153,8,12,1349271552,23248,140736256070976,140246638600520,1,29,3958599,360,503808,45056,4096
