ID,minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$setUp,7011,0,26,2,12,1212297216,6507,140734505733744,140524550381896,1,29,2007107,293,0,45056,4096
EXIT-org/apache/hadoop/dfs/TestCrcCorruption$setUp,7047,0,26,2,12,1212297216,6546,140734505733744,140524550381896,1,29,2007471,293,0,45056,4096
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$testCrcCorruption,7067,0,26,2,12,1212297216,6546,140734505733744,140524550381896,1,29,2007835,293,0,45056,4096
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$thistest,9888,0,39,5,12,1212297216,8912,140734505733744,140524550381896,1,30,3033995,293,0,45056,4096
ENTER-org/apache/hadoop/dfs/NameNode$format,12535,0,63,6,12,1212297216,10896,140734505733744,140524550381896,1,29,3195432,293,0,45056,4096
ENTER-org/apache/hadoop/dfs/NameNode$format,12535,0,63,6,12,1212297216,10896,140734505733744,140524550381896,1,29,3195798,293,0,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,20536,0,114,7,12,1212297216,17886,140734505733744,140524550381896,1,29,3523261,293,0,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,20705,0,114,7,12,1212297216,18017,140734505733744,140524550381896,1,29,3534656,293,0,45056,4096
ENTER-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,22381,0,126,8,12,1212297216,19276,140734505733744,140524550381896,1,29,3644016,293,0,45056,4096
EXIT-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,22384,0,126,8,12,1212297216,19276,140734505733744,140524550381896,1,29,3644383,293,0,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$now,22550,0,126,8,12,1212297216,19408,140734505733744,140524550381896,1,29,3644750,293,0,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$now,22831,0,126,8,12,1213833216,19672,140734505733744,140524550381896,1,29,3645117,293,0,45056,4096
ENTER-org/apache/hadoop/dfs/FSImage$setStorageDirectories,22965,0,126,8,12,1213833216,19804,140734505733744,140524550381896,1,29,3645484,293,0,45056,4096
ENTER-org/apache/hadoop/dfs/Storage$addStorageDir,23088,0,128,8,12,1212297216,19597,140734505733744,140524550381896,1,29,3663279,293,0,45056,4096
