ID,minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC
ENTER-org/apache/hadoop/hbase/zookeeper/ZooKeeperWatcher$toString,58164,0,698,34,19,3335311360,42963,140735533354528,139742463623496,1,131,12039884,38616,0,98304,0,1.6137e+11,4.14999e+09,1.47735e+08,2.24712e+11,4.29772e+09,2.72369e+10,1.41395e+08,888501,1.15803e+10,7.42311e+08,9.27072e+10,1.19499e+11,-1.09578e+11,1.13875e+11,1.02442e+06,2.62958e+11,3.22555e+11,1.39775e+11,5.81588e+10,2.46499e+11,4.60445e+12,2.72156e+12,2.44191e+09,9.58047e+11,4.97717e+11,5.311e+11,2.63693e+09,1.57997e+12,3.9362e+12,1.69859e+12,1.85996e+12,2.12206e+11,9.27072e+10,1.19499e+11,3.48268e+12,4.33945e+10,3.50255e+12,4.35422e+10,2.66117e+11,5.3625e+12,2.70414e+11,1.36249e+11,1.19499e+11,1.43281e+09,7.8871e+08,2.44191e+09,2.44191e+09,2.44191e+09,0,0,0
ENTER-org/apache/hadoop/hbase/client/HConnectionManager$HConnectionKey$equals,58196,0,698,34,19,3335311360,43029,140735533354528,139742463623496,1,130,12041388,38616,0,98304,0,1.61434e+11,4.15164e+09,1.47794e+08,2.24801e+11,4.29943e+09,2.72477e+10,1.41451e+08,888854,1.15849e+10,7.42606e+08,9.2744e+10,1.19546e+11,-1.09621e+11,1.13921e+11,1.02483e+06,2.63062e+11,3.22683e+11,1.3983e+11,5.81819e+10,2.46597e+11,4.60628e+12,2.72264e+12,2.44288e+09,9.58428e+11,4.97914e+11,5.31311e+11,2.63798e+09,1.5806e+12,3.93776e+12,1.69926e+12,1.86069e+12,2.1229e+11,9.2744e+10,1.19546e+11,3.48406e+12,4.34117e+10,3.50394e+12,4.35595e+10,2.66222e+11,5.36464e+12,2.70522e+11,1.36304e+11,1.19546e+11,1.43338e+09,7.89023e+08,2.44288e+09,2.44385e+09,2.44385e+09,0,0,0
EXIT-org/apache/hadoop/hbase/zookeeper/ZooKeeperWatcher$toString,58203,0,698,34,19,3335311360,43029,140735533354528,139742463623496,1,131,12042388,38616,0,98304,0,1.61498e+11,4.15328e+09,1.47853e+08,2.2489e+11,4.30114e+09,2.72586e+10,1.41507e+08,889207,1.15895e+10,7.42901e+08,9.27808e+10,1.19594e+11,-1.09665e+11,1.13966e+11,1.02523e+06,2.63167e+11,3.22812e+11,1.39886e+11,5.8205e+10,2.46695e+11,4.60811e+12,2.72372e+12,2.44385e+09,9.58809e+11,4.98112e+11,5.31522e+11,2.63902e+09,1.58123e+12,3.93932e+12,1.69994e+12,1.86143e+12,2.12374e+11,9.27808e+10,1.19594e+11,3.48544e+12,4.3429e+10,3.50533e+12,4.35768e+10,2.66328e+11,5.36677e+12,2.70629e+11,1.36358e+11,1.19594e+11,1.43395e+09,7.89336e+08,2.44385e+09,2.44385e+09,2.44385e+09,0,0,0
EXIT-org/apache/hadoop/hbase/client/HConnectionManager$HConnectionKey$equals,58235,0,698,34,19,3335311360,43029,140735533354528,139742463623496,1,130,12043892,38616,0,98304,0,1.61562e+11,4.15493e+09,1.47911e+08,2.2498e+11,4.30284e+09,2.72694e+10,1.41564e+08,889560,1.15941e+10,7.43196e+08,9.28177e+10,1.19641e+11,-1.09708e+11,1.14011e+11,1.02564e+06,2.63271e+11,3.2294e+11,1.39941e+11,5.82281e+10,2.46793e+11,4.60993e+12,2.7248e+12,2.44482e+09,9.59189e+11,4.9831e+11,5.31733e+11,2.64007e+09,1.58186e+12,3.94089e+12,1.70061e+12,1.86217e+12,2.12459e+11,9.28177e+10,1.19641e+11,3.48683e+12,4.34462e+10,3.50672e+12,4.35941e+10,2.66434e+11,5.37103e+12,2.70844e+11,1.36466e+11,1.19689e+11,1.43509e+09,7.89963e+08,2.44579e+09,2.44579e+09,2.44579e+09,0,0,0
EXIT-org/apache/hadoop/hbase/zookeeper/ZooKeeperWatcher$prefix,58244,0,698,34,19,3335311360,43029,140735533354528,139742463623496,1,131,12044892,38616,0,98304,0,1.61626e+11,4.15658e+09,1.4797e+08,2.25069e+11,4.30455e+09,2.72802e+10,1.4162e+08,889913,1.15987e+10,7.43491e+08,9.28545e+10,1.19689e+11,-1.09752e+11,1.14056e+11,1.02605e+06,2.63375e+11,3.23068e+11,1.39997e+11,5.82512e+10,2.46891e+11,4.61176e+12,2.72588e+12,2.44579e+09,9.5957e+11,4.98508e+11,5.31944e+11,2.64112e+09,1.58248e+12,3.94245e+12,1.70129e+12,1.86291e+12,2.12543e+11,9.28545e+10,1.19689e+11,3.48821e+12,4.34634e+10,3.50812e+12,4.36114e+10,2.6654e+11,5.37103e+12,2.70844e+11,1.36466e+11,1.19689e+11,1.43509e+09,7.89963e+08,2.44579e+09,2.44579e+09,2.44579e+09,0,0,0
EXIT-org/apache/hadoop/hbase/zookeeper/ZKUtil$watchAndCheckExists,58276,0,698,34,19,3335311360,43095,140735533354528,139742463623496,1,130,12046144,38616,0,98304,0,1.6169e+11,4.15823e+09,1.48029e+08,2.25158e+11,4.30626e+09,2.7291e+10,1.41676e+08,890266,1.16033e+10,7.43786e+08,9.28913e+10,1.19736e+11,-1.09795e+11,1.14101e+11,1.02645e+06,2.6348e+11,3.23196e+11,1.40052e+11,5.82743e+10,2.46989e+11,4.61359e+12,2.72697e+12,2.44676e+09,9.59951e+11,4.98705e+11,5.32155e+11,2.64217e+09,1.58311e+12,3.94402e+12,1.70196e+12,1.86365e+12,2.12627e+11,9.28913e+10,1.19736e+11,3.48959e+12,4.34807e+10,3.50951e+12,4.36287e+10,2.66645e+11,5.37316e+12,2.70952e+11,1.3652e+11,1.19736e+11,1.43566e+09,7.90276e+08,2.44676e+09,2.44676e+09,2.44676e+09,0,0,0
EXIT-org/apache/hadoop/hbase/zookeeper/ZooKeeperNodeTracker$nodeDeleted,58300,0,698,34,19,3335311360,43095,140735533354528,139742463623496,1,130,12047648,38616,0,98304,0,1.61754e+11,4.15988e+09,1.48087e+08,2.25248e+11,4.30797e+09,2.73019e+10,1.41732e+08,890619,1.16079e+10,7.44081e+08,9.29282e+10,1.19783e+11,-1.09839e+11,1.14147e+11,1.02686e+06,2.63584e+11,3.23324e+11,1.40108e+11,5.82974e+10,2.47087e+11,4.61542e+12,2.72805e+12,2.44773e+09,9.60331e+11,4.98903e+11,5.32366e+11,2.64321e+09,1.58374e+12,3.94558e+12,1.70264e+12,1.86439e+12,2.12712e+11,9.29282e+10,1.19783e+11,3.49098e+12,4.34979e+10,3.5109e+12,4.3646e+10,2.66751e+11,5.37529e+12,2.71059e+11,1.36574e+11,1.19783e+11,1.43623e+09,7.9059e+08,2.44773e+09,2.44773e+09,2.44773e+09,0,0,0
EXIT-org/apache/hadoop/hbase/client/HConnectionManager$deleteConnection,58312,0,698,34,19,3335311360,43095,140735533354528,139742463623496,1,130,12048900,38616,0,98304,0,1.61818e+11,4.16153e+09,1.48146e+08,2.25337e+11,4.30967e+09,2.73127e+10,1.41788e+08,890972,1.16125e+10,7.44376e+08,9.2965e+10,1.19831e+11,-1.09882e+11,1.14192e+11,1.02727e+06,2.63689e+11,3.23452e+11,1.40163e+11,5.83205e+10,2.47185e+11,4.61725e+12,2.72913e+12,2.4487e+09,9.60712e+11,4.99101e+11,5.32577e+11,2.64426e+09,1.58437e+12,3.94714e+12,1.70331e+12,1.86513e+12,2.12796e+11,9.2965e+10,1.19831e+11,3.49236e+12,4.35152e+10,3.51229e+12,4.36633e+10,2.66857e+11,5.37742e+12,2.71166e+11,1.36628e+11,1.19831e+11,1.4368e+09,7.90903e+08,2.4487e+09,2.4487e+09,2.4487e+09,0,0,0
ENTER-org/apache/hadoop/hbase/catalog/CatalogTracker$2$nodeDeleted,58331,0,698,34,19,3335311360,43095,140735533354528,139742463623496,1,131,12049900,38616,0,98304,0,1.61883e+11,4.16318e+09,1.48205e+08,2.25426e+11,4.31138e+09,2.73235e+10,1.41844e+08,891325,1.16171e+10,7.4467e+08,9.30018e+10,1.19878e+11,-1.09926e+11,1.14237e+11,1.02768e+06,2.63793e+11,3.2358e+11,1.40219e+11,5.83436e+10,2.47283e+11,4.61908e+12,2.73021e+12,2.44967e+09,9.61092e+11,4.99298e+11,5.32788e+11,2.64531e+09,1.58499e+12,3.94871e+12,1.70398e+12,1.86587e+12,2.1288e+11,9.30018e+10,1.19878e+11,3.49375e+12,4.35324e+10,3.51368e+12,4.36806e+10,2.66963e+11,5.37955e+12,2.71274e+11,1.36682e+11,1.19878e+11,1.43737e+09,7.91216e+08,2.44967e+09,2.44967e+09,2.44967e+09,0,0,0
EXIT-org/apache/hadoop/hbase/client/HConnectionManager$deleteConnection,58360,0,698,34,19,3335311360,43161,140735533354528,139742463623496,1,131,12051404,38616,0,98304,0,1.61947e+11,4.16483e+09,1.48264e+08,2.25515e+11,4.31309e+09,2.73343e+10,1.41901e+08,891678,1.16217e+10,7.44965e+08,9.30387e+10,1.19926e+11,-1.09969e+11,1.14282e+11,1.02808e+06,2.63898e+11,3.23709e+11,1.40274e+11,5.83667e+10,2.47381e+11,4.62091e+12,2.73129e+12,2.45064e+09,9.61473e+11,4.99496e+11,5.32999e+11,2.64636e+09,1.58562e+12,3.95027e+12,1.70466e+12,1.86661e+12,2.12965e+11,9.30387e+10,1.19926e+11,3.49513e+12,4.35497e+10,3.51507e+12,4.36979e+10,2.67068e+11,5.38168e+12,2.71381e+11,1.36737e+11,1.19926e+11,1.43794e+09,7.9153e+08,2.45064e+09,2.45064e+09,2.45064e+09,0,0,0
EXIT-org/apache/hadoop/hbase/catalog/CatalogTracker$2$nodeDeleted,58369,0,698,34,19,3335311360,43227,140735533354528,139742463623496,1,131,12052404,38616,0,98304,0,1.62011e+11,4.16647e+09,1.48322e+08,2.25605e+11,4.3148e+09,2.73451e+10,1.41957e+08,892031,1.16263e+10,7.4526e+08,9.30755e+10,1.19973e+11,-1.10013e+11,1.14328e+11,1.02849e+06,2.64002e+11,3.23837e+11,1.4033e+11,5.83898e+10,2.47479e+11,4.62274e+12,2.73237e+12,2.45161e+09,9.61854e+11,4.99694e+11,5.3321e+11,2.6474e+09,1.58625e+12,3.95184e+12,1.70533e+12,1.86735e+12,2.13049e+11,9.30755e+10,1.19973e+11,3.49651e+12,4.35669e+10,3.51646e+12,4.37152e+10,2.67174e+11,5.38381e+12,2.71489e+11,1.36791e+11,1.19973e+11,1.4385e+09,7.91843e+08,2.45161e+09,2.45161e+09,2.45161e+09,0,0,0
EXIT-org/apache/hadoop/hbase/catalog/TestCatalogTracker$testVerifyMetaRegionLocationWithException,58399,0,698,34,19,3335311360,43227,140735533354528,139742463623496,1,131,12053908,38616,0,98304,0,1.62075e+11,4.16812e+09,1.48381e+08,2.25694e+11,4.3165e+09,2.7356e+10,1.42013e+08,892384,1.16309e+10,7.45555e+08,9.31123e+10,1.20021e+11,-1.10056e+11,1.14373e+11,1.0289e+06,2.64107e+11,3.23965e+11,1.40385e+11,5.8413e+10,2.47577e+11,4.62457e+12,2.73345e+12,2.45258e+09,9.62234e+11,4.99892e+11,5.33421e+11,2.64845e+09,1.58688e+12,3.9534e+12,1.70601e+12,1.86808e+12,2.13133e+11,9.31123e+10,1.20021e+11,3.4979e+12,4.35841e+10,3.51786e+12,4.37325e+10,2.6728e+11,5.38594e+12,2.71596e+11,1.36845e+11,1.20021e+11,1.43907e+09,7.92156e+08,2.45258e+09,2.45258e+09,2.45258e+09,0,0,0
